cell_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,0.22874463,4.272506,-0.84979534,4.1920094,-0.9874418,-7.3278813,1.9060371,3.0636315,-1.7559067,2.3374906,-2.8311036,-1.6047429,0.31877106,0.67748004,-1.6295643,-3.4275377,0.023033412,1.1398338,-4.3815117,4.551412,3.1177237,0.8055251,-3.8603463,-0.9354623,-1.6615951,3.6924257,1.0245066,3.580532,0.8392403,4.463216,0.16387872,0.04171041,-2.7602897,4.4666357,2.1936164,3.8569963,-1.9636037,1.9382203,-2.6906135,0.27786908,-3.1954346,3.7654717,4.114621,-1.6967852,-2.1192093,4.706425,-3.8230994,3.538702,0.731248,1.9380542
2,-0.14316516,1.9970913,-1.0532402,3.1657205,-1.3617088,-3.2074306,2.843012,4.9699135,-0.9539535,0.56529874,0.062394954,-3.207313,3.6342373,1.3737173,1.9579874,-2.1398306,-1.9170245,-3.1328294,-5.737805,1.4868429,5.3091445,-3.4725623,-5.8105483,-2.479179,-4.187193,6.1620994,4.9632416,1.2360559,-3.7628083,6.2584066,-0.4031764,-4.7366476,-3.9060552,5.6701612,-3.4943812,3.0541341,-0.0124496985,-2.2623627,-5.5361133,0.9911287,-7.4956164,10.082747,3.4932444,-0.22291437,0.75987554,2.2071502,-1.4217811,0.71354234,4.5287194,3.9541278
3,4.5320563,3.3622143,-4.141372,3.7044787,1.5177215,-7.676734,2.5284157,6.546019,-0.45662972,1.6041546,-2.9001067,-2.113069,2.5762563,-0.060340468,-2.0069318,-3.7931108,0.49956504,-2.8434384,-6.016243,3.1331158,8.272174,0.60949606,-2.6446576,0.68628895,-1.7638302,1.1964973,2.4007018,3.2222955,-1.833313,1.6591727,-1.7904983,-4.58115,-0.33423713,2.5351214,-4.7534494,2.453993,-4.5094967,3.7338412,-6.4331765,-0.33714265,-6.8535337,3.4223962,4.0794916,-2.9191957,-3.7303376,2.5499718,-3.588211,2.5343065,0.96077746,5.2055817
4,4.456746,1.0687882,-2.1671731,4.7731223,-0.48771915,-8.413837,5.0451217,4.585017,-1.564803,3.8889668,-2.3368332,-0.9100891,3.8930707,0.05350925,0.9210875,-5.2808995,-1.488061,-2.5523894,-8.220053,-0.54425585,6.0123515,1.3309281,-4.893009,-2.744697,-3.0881696,4.0754547,3.96644,0.62322813,-3.5032406,1.8295279,1.2591771,-1.2290353,-4.009938,6.543839,-5.1428013,1.0655048,0.66402656,0.8456403,-4.2450075,0.0050799255,-6.7341805,6.4766316,1.2149901,-2.5921702,-2.273678,1.4485465,-2.0677927,-1.2162971,0.52309376,3.5846949
5,1.10468,4.069961,-2.4333196,1.8371432,-2.6603181,-4.461341,5.7062383,2.1542878,-1.4662921,0.55038273,3.7007174,-4.7086234,3.2202446,0.07375808,0.11468134,-3.0897672,-0.723182,0.6185754,-1.603317,2.9528735,1.3749031,-1.490905,-8.132526,-2.7482789,0.30370492,5.740771,2.8081882,6.3881216,-4.8735356,-0.13709089,1.3652425,-0.49115333,-2.2725852,3.9644287,-3.119098,0.57544684,1.209353,0.7546454,-3.1351755,5.433338,-3.4607224,2.149181,5.8116145,4.110404,-1.4714892,2.5302458,-3.4002142,2.1369126,-5.469591,-0.9560307
6,4.496094,3.5368116,-2.8104827,-0.250317,-1.1596195,-3.7299666,7.814522,2.1109686,1.1301115,2.340089,-0.72304296,-1.931862,6.8735914,-3.3058598,-0.7048682,-0.04559145,-1.7222826,-2.876512,-8.619654,2.1211262,1.1826807,2.6046402,-9.185419,-1.7408196,-1.7068219,3.4100416,5.3362327,-0.03959066,-5.1451344,-2.169975,-1.2818234,-4.303127,-4.393808,6.601544,-9.504914,-2.512955,-1.1646179,2.5838816,-3.110024,2.819702,-9.045856,5.2802706,-1.3004476,1.8199652,-3.6464615,0.54955393,-0.80071986,-1.5634397,-3.2540507,-2.1249514
7,3.548263,0.73574966,2.4224463,6.5657597,2.3545396,-4.9276524,-1.335485,2.152096,-1.0683496,2.0395353,1.6761162,3.6995952,2.528975,1.8675905,-0.44986883,0.1724876,-5.0435467,-2.7566366,-5.5898304,2.9366758,2.9294956,3.5635998,1.6382996,-3.3815289,0.44858313,0.43175608,2.4658566,1.3791096,-1.8803445,6.7724743,-1.7113681,-5.0877194,-1.2682437,3.0934973,-8.453644,3.578501,-5.2167096,3.563294,-5.4449205,-1.9867386,-9.000292,5.30819,1.2001871,3.1263318,-1.2619019,3.5783415,-1.4500035,3.138753,-2.170675,2.9529004
8,-0.67262566,3.165384,1.0277436,0.51545423,1.8407917,-3.8978593,0.9227759,3.08425,-1.2344558,1.9385221,-1.0326226,-2.4141624,-0.38311502,5.361783,-4.436578,-1.2967919,2.2345138,1.8867401,-8.971791,3.8441463,3.4504411,-1.7734199,-6.7218595,-1.7748997,-0.07464485,5.861585,1.8954594,6.2831316,1.7237172,-2.4728148,0.25341988,-3.7763736,-4.6854525,5.480129,1.0856258,1.757288,-2.1835778,-0.6654147,-2.547407,0.6235507,-3.1591284,7.2479177,8.717494,-3.3421497,-1.8147143,0.7951569,2.5479083,1.2414607,0.5009209,2.2290397
9,-0.6354835,0.23653997,-0.653362,-5.3167057,4.78441,-3.5885472,4.8313723,0.18477525,-0.14731416,6.1259165,0.4217895,-2.0234227,1.8032823,2.9080477,-3.5845048,-4.540426,-2.4698095,0.9114172,-6.3165107,0.5455665,6.253813,-0.7548377,-1.7709237,1.3361801,2.5481539,0.50634974,2.3014383,2.9500444,3.2355325,-0.48543695,-5.5043693,-2.1604817,2.5900836,2.9801607,0.21875171,4.6184835,-2.6535463,1.7809849,1.2329564,2.1749196,-6.427102,0.10969571,0.31898043,-1.3808975,0.9098991,2.9801364,2.3417726,-0.0027014762,-0.6010082,-0.82945186
10,0.6524509,1.3591627,-2.6466615,0.52304447,2.566558,-8.493465,4.6559854,6.525414,-2.289766,0.65054935,-0.21048181,1.6255462,-2.1538017,0.037386183,-1.1021906,-4.2011976,-4.2535434,0.62735,-7.0723586,0.6950288,2.7398798,-1.1568598,-3.6287498,-1.6624444,3.7801363,7.800684,-0.4285165,2.3771176,-2.397404,9.048771,5.2368565,-2.9244075,-1.6507084,3.7703896,0.6688704,0.99895185,0.22943997,-1.8506564,-2.22056,-3.339209,-1.5324186,4.528252,1.4598501,-3.0036895,2.4023104,1.9504118,-7.8840303,3.5926447,-0.8032742,4.831106
11,8.551152,0.72728604,1.7952111,2.4359043,4.738094,-7.2016196,7.580314,4.784434,0.95466244,3.1830318,0.5839521,-3.900384,2.4599938,-1.0340756,-0.30877343,-2.8024557,0.11251053,-6.0622153,-5.566795,2.142857,1.9114802,1.9671377,-0.28141984,-4.0165577,1.7673674,-3.2898242,4.3266907,2.0727274,-12.162797,0.6849552,2.4920907,-2.797253,0.20036638,2.9861617,-7.7685294,3.1625695,-0.7156359,0.6269715,-2.6689363,3.5903127,-5.038972,5.4423285,2.982497,-1.5076729,0.7887893,0.5705191,0.32360685,-4.5889816,1.1135923,-3.1849232
12,10.771982,-1.5513798,-5.4572444,1.5093825,7.1529746,-9.235161,6.3051953,5.727253,3.4032972,0.45153335,-5.989981,0.7903979,2.573071,-2.5099065,-0.62581253,-3.6573248,3.3554723,-4.0228004,-6.9756675,4.0105333,6.4972143,1.7957393,1.9898789,-0.73318183,4.9127765,0.49425173,9.357735,1.8784342,-3.1342654,4.130113,1.107558,-1.8483425,-3.351725,4.645164,-2.629125,1.5013434,0.95481145,3.6848419,-2.3035967,-3.9708395,-2.544978,3.8763263,0.12570196,-2.022371,-5.2995963,1.8130871,-1.036112,-1.6462545,-0.80643576,-1.206948
13,3.4261026,1.5587548,-1.5481082,-2.1509974,1.7155128,-1.2943076,4.5906186,0.21114956,-2.2157526,2.8507245,4.4899654,0.04688567,1.4919153,1.3263003,-1.3000929,-0.81249213,1.0787656,-3.0199485,-5.9122434,2.1361654,2.927721,-0.23485115,-2.2071416,-3.1379137,2.107809,-0.9766339,5.586156,6.9689674,0.7460901,-4.6529393,0.49677297,1.1204112,-3.8390505,2.2271454,-4.0180664,-0.014048781,-0.38493416,4.692504,0.48799413,2.9484987,-2.4193754,3.0359256,3.0674052,-1.049418,-0.3128102,1.957464,1.5359803,-0.81535417,-5.084456,-4.4660583
14,2.62254,2.3047376,-4.379189,1.5714229,0.276008,-6.62948,1.2243917,0.95603037,-2.1812944,1.7577934,-0.7412946,-1.725926,-1.4609247,5.87552,-0.97101337,-5.1173863,-1.0592518,0.23695369,-5.8725233,2.8453946,1.857787,-1.6365663,-5.58717,-5.6909285,-1.5112209,5.636837,3.2454867,2.342993,0.72649056,-0.06422478,3.7964952,-2.7611945,-4.002041,3.372544,-0.84108764,2.6891649,-1.5874479,0.075326905,-0.54277873,0.96825945,-2.6503875,3.6683428,6.979594,-4.658603,-2.826276,3.0062215,-2.2308872,-2.0007377,0.18752985,3.0094807
15,-0.06184367,0.992668,-3.7644665,1.3074378,1.5062089,-8.264789,3.551533,4.518847,3.1257658,4.2009034,-1.6616795,-1.5523689,1.2832035,3.2769303,2.5236752,-3.408273,-1.30724,1.0175151,-5.1641235,1.5853094,5.0844097,-1.2629405,-0.70190805,2.026259,3.2629683,5.872237,4.8597903,1.4856466,-2.0985267,6.5140123,-2.3910718,-7.01101,-0.7843684,4.551832,-2.1982095,1.2368582,-1.460634,-0.37649173,-6.0894213,-3.6666343,-3.7324882,5.1736746,0.05955814,-3.4383714,-1.5948527,0.27701923,-0.3168393,2.9581702,2.1167548,6.3852625
16,6.9763684,1.0143185,-0.06328634,3.3029342,0.22348252,-5.927122,5.4209266,6.2972226,4.3165097,-0.31491315,-5.33234,-5.6219707,4.602825,-5.188303,1.6797649,-2.599437,1.765021,-5.1512294,-8.645965,2.3129609,2.809895,2.249247,-1.2779406,-1.9485766,4.2115974,1.6449717,6.1152544,2.7397673,-3.6834738,-2.3156695,-0.2512997,3.5793366,-3.5275738,5.170545,-12.419528,1.3842708,2.0327384,4.8650203,-1.2862962,2.2669044,-6.0072937,5.4962854,-0.82509065,-3.0912678,-5.556679,2.9427602,-0.7081463,-0.3636988,-0.96395624,0.39671814
17,2.3009956,2.0484583,-2.9783182,2.5592363,0.024846671,-3.7010908,4.869901,0.8113206,-0.116790704,0.78711396,4.334792,-1.8895639,2.1628706,2.2221732,0.80982685,-5.27469,-2.3261852,-1.7254215,1.026792,-2.8270025,1.1532476,1.256985,-1.5477095,-2.035228,-2.6192646,-3.9421499,0.5183709,1.0851526,-8.638266,-0.5673188,0.14582352,-1.5460523,-2.9521797,2.000036,-8.360703,3.873948,-0.9550697,2.2346528,0.07577384,8.933975,-2.5901985,7.490927,2.0691261,-0.1873352,4.1971583,-1.2067608,-1.4457276,-0.5703314,-2.0397162,-2.3711178
18,2.7624567,2.353665,-3.5649195,5.3375134,3.3069754,-6.753237,2.8805206,2.7051294,0.9744753,-0.3031133,2.1867416,1.629374,-0.60701644,4.580471,4.80473,-6.0057254,-1.786969,-2.6452918,-4.62607,1.0561596,0.055336684,-2.0479965,-2.678477,-4.0276556,-2.9368968,1.851417,0.19847621,-0.193126,-7.8803234,-1.5259501,2.801851,-1.6760905,-2.8228598,5.9916954,-7.4126906,-2.0177941,0.96219844,1.5426918,-3.4196222,4.0534205,-6.341653,8.830499,1.5970706,0.752047,5.040712,3.7134793,-4.9090114,0.21467665,4.1783385,1.3652986
