cell_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
11,-4.3103504,3.0087574,2.5421016,4.533227,-0.916485,-2.0919857,-1.430348,0.34585726,5.27283,-3.3435597,-2.8453012,-10.367411,-5.848346,-1.0308428,4.465632,0.45350704,-2.6512985,3.588431,10.843053,-4.237966,-5.8778224,-2.1283758,-8.545209,4.5183372,-7.578476,-12.644585,3.2604983,11.21173,0.019121781,0.67725945,7.560857,-5.754965,-10.185179,4.0561757,-4.1728287,8.644516,5.198941,2.445746,1.9772141,1.1809591,0.9634676,0.5370828,-6.1283054,-3.2156615,-0.2649828,-0.06880464,-0.86193186,-2.6666708,4.9883485,0.053754184
12,-5.0207424,0.193721,9.734501,-1.2468425,-0.90022916,-0.6913349,0.96279025,-1.4506274,5.498954,-0.74840647,-2.872231,-9.625889,-0.728581,-4.0706253,4.0455785,-1.2934687,-0.9977881,0.17672369,12.404019,-4.01514,-7.554967,-2.1634119,-8.762773,3.0929625,-5.7284875,-9.905429,-1.387204,9.546094,0.572398,0.054606494,6.3550763,0.6106363,-7.632302,1.7158827,-6.7145543,2.4539611,7.5140696,1.5783538,0.6322037,1.3274635,1.2452372,3.199367,-7.4227695,-1.7608143,0.8495668,7.0048356,1.9339272,1.7474567,5.07783,-5.1900945
13,-8.250221,1.8828844,12.7134905,2.618255,1.4867136,1.6345906,3.3515759,-1.6526492,2.3114889,-2.1979518,0.36691937,-9.207867,-7.870659,-4.885733,4.504093,-4.954353,-3.682902,0.59805596,11.346988,-2.7619653,-2.8747306,-3.1584725,-8.519935,5.383131,-6.319716,-11.328603,-3.8387241,10.851203,1.4224207,-0.55113363,4.2971516,-1.9942888,-11.519086,3.6680877,-3.6230164,1.6532137,9.814131,2.5924714,2.5893922,-2.4956505,-1.9361196,3.145135,-7.65523,-3.421683,3.0761125,1.6110823,1.0518247,-1.2643533,4.788386,-1.5845145
14,-2.9684243,2.4117892,10.693228,5.3043814,-1.946095,-0.07186738,-0.27266222,-3.6248178,7.148455,-2.8667386,-3.2353566,-14.752244,-4.6798224,-0.99729294,3.683786,-1.6652782,-2.7008426,1.9100384,11.362242,-4.28466,-3.5033903,-6.217766,-7.466047,4.2705727,-9.529301,-11.417886,3.5393083,6.917526,2.4679842,-1.122547,2.6813343,-1.3808341,-7.1321373,-0.38085938,-8.786117,3.760743,6.1873374,3.8367352,0.6002428,3.8533397,-2.3655884,4.8724384,-5.7864156,2.5630121,1.9397268,-0.70505905,-0.82768875,2.6346767,5.2939906,-0.85955274
15,-1.593923,-2.8771539,3.06007,3.261217,-9.227063,-2.4662378,-1.7280068,2.6906838,5.4292507,1.4475669,-4.104034,-9.296528,-4.343912,0.1622107,6.253812,-1.1999716,-2.6063197,1.8513213,10.872899,-0.66274786,-5.863417,-2.3500075,-9.155143,3.2585742,-6.545858,-14.10844,3.4589334,7.963388,2.9105868,0.05095327,-0.4291269,-3.0398817,-10.964989,5.210147,-5.28534,5.4702168,3.533081,5.9155426,-3.6590335,1.0322374,-0.35817194,9.97214,-8.60796,-1.1707083,-0.4502618,3.1407516,-3.1655974,-3.4452846,2.8904393,-5.877216
16,-5.8246894,-2.687907,7.1608276,3.9861083,-0.74434686,-1.9240211,-0.37537238,-1.8498483,7.365171,-2.104221,-3.217994,-8.46244,-4.012059,1.513762,8.148825,-1.3763059,-3.58035,0.43856704,13.272709,0.50705916,-8.105393,-0.24602838,-13.513055,2.7224255,-4.936454,-11.461158,0.13587606,8.023507,-0.9196267,-0.76640946,6.138661,-3.253568,-9.866395,1.1547539,-2.8589587,6.9078884,4.656078,3.8415098,-0.5193981,-0.020834563,2.4621718,7.027496,-3.4552462,-1.8874035,0.98524505,-2.6106691,1.7089316,2.1584961,2.8184633,-1.8961359
17,-4.130786,0.21847014,4.253314,5.4951463,-6.5063486,-2.7784398,-1.8376154,4.0418477,2.5500305,-5.000405,0.925493,-8.21486,-3.2284951,0.04603925,7.571712,-0.3587435,-4.294201,5.715162,6.894611,3.4544568,-3.7160077,-5.131943,-9.514865,-0.03175287,-8.75318,-12.957673,2.2364237,7.7869554,0.28238234,1.7164131,4.3695884,-6.1218095,-7.637958,3.1980834,-0.6592812,12.486908,7.252741,5.231236,2.6946585,2.8071198,-1.2713726,5.170545,-8.681723,-1.3323498,1.6730474,1.8697847,-3.7483468,1.6634694,4.556121,-4.6676745
18,-4.2806945,0.87745136,7.5705256,6.0857177,-3.4393647,0.95568806,-0.8076904,1.3153131,3.1133153,-2.8829784,-0.5321597,-11.7254305,-8.4946995,-4.0801444,8.464675,-0.3534745,-2.6744628,1.9690342,7.4390798,-2.54196,-2.1567137,4.2169375,-5.8197093,3.764864,-5.548668,-12.077727,1.1550426,10.709176,-0.0717955,4.5117083,0.7127768,1.1134248,-11.011558,2.3027778,-3.601654,7.1334176,3.3278892,1.0219007,2.0082812,0.5114276,-4.512497,4.853228,-5.157347,-4.6264997,-3.5530093,-2.3511405,-2.2149541,-0.8783717,5.3054156,-5.5065517
19,-7.7058477,1.9375616,4.9533286,3.4412875,-0.57029754,-0.35826364,1.4400403,-4.8678164,7.542823,-1.6454474,-0.56169194,-14.344018,-4.9832153,-1.1715577,8.849045,-1.7185489,-0.7511209,-0.11819579,13.199095,-3.3450735,-4.7832727,-4.4668555,-9.320329,-0.2972271,-6.039363,-6.9412146,-2.2270627,7.123717,-0.9767659,1.4860946,-0.8954577,-2.9813907,-12.230832,2.7662647,-4.56562,4.637817,3.4519851,-0.4034594,-0.9650666,0.56008136,2.140508,5.866348,-8.266497,-3.9763935,-4.5787044,-3.0525866,1.210773,1.3872204,5.7998185,-3.9994528
20,-7.2857766,1.5369531,10.081709,1.2083937,-6.044924,1.772481,1.1073636,1.1156534,2.903824,-0.048254795,0.26786655,-12.071339,-2.5117178,-4.475399,2.0930223,-1.1649871,-1.8479002,1.0261301,14.339909,-2.8210385,-2.0377777,-1.9915628,-5.700341,4.8342056,-8.1145315,-15.174583,-2.5614853,10.492583,1.3059329,1.3351877,2.9592137,-0.029431881,-9.96912,3.2775707,-6.329623,5.286106,6.16473,0.89191884,1.3688126,2.7313428,-4.21909,0.98364455,-9.607339,-3.7965117,4.3768406,6.466955,2.1002522,-2.3586793,1.4816488,-6.4761624
21,-6.0267334,-2.1603305,8.72209,1.773797,-1.1074106,3.5746388,-1.7873142,-0.21602875,4.9736304,-0.8525028,-4.3188534,-10.250591,0.7005969,-6.690093,7.4806433,0.74063003,-1.838189,1.0512621,13.835592,-2.4849808,-3.9819622,-3.1095715,-7.4404483,3.0708308,-9.328064,-11.681497,1.4067857,11.429119,1.3272976,1.4985564,2.786652,-2.6956532,-8.718474,1.2128197,-6.203265,4.1309147,6.6037555,1.4542867,2.9159796,1.6954657,-3.539693,1.3657091,-10.822764,-2.317771,-3.0986495,4.9440947,3.2224188,-1.12839,0.98176485,-3.3202255
22,-8.2330265,2.065487,12.704722,2.5877357,1.4148037,1.5516382,3.4296486,-1.4566925,2.2946858,-2.4078434,0.41857636,-8.989523,-7.8724923,-5.0808263,4.5375743,-4.9131174,-3.6611202,0.7356867,11.4053135,-3.1021335,-2.987681,-3.2023056,-8.687759,5.54165,-6.284171,-11.32879,-3.7052674,10.618473,1.2190285,-0.59188116,4.0248923,-1.900506,-11.820197,3.5080664,-3.5108051,1.8504024,9.763365,2.551874,2.3874636,-2.6638696,-1.6859657,3.1079364,-7.8963556,-3.4935555,3.3537576,1.3449484,0.85771006,-1.3322241,4.8393283,-1.5922009
23,-1.4434282,0.52335596,7.951104,2.053399,0.5521557,-3.1781425,-0.79581976,3.839541,6.0611606,-0.36638996,-4.300238,-10.938159,-9.611507,-0.53353894,4.8656626,0.11885058,-3.813634,-1.3052945,12.53462,0.089658305,-4.846474,-4.7056828,-8.369662,-1.9834008,-7.7308717,-9.901728,-1.4306325,10.67504,1.5629945,3.0365305,6.1266418,-2.584249,-9.895877,5.5568743,-0.3462469,3.5913413,4.7366357,2.3266842,2.7792954,3.0372229,1.0230862,5.9588246,-5.5141516,-5.685473,-2.3163202,-3.8347542,-0.7141711,-0.5462647,5.9315825,-2.5527475
24,-6.177547,4.2045803,6.722415,0.63900477,-3.7274616,-1.5762818,4.374081,-3.5861678,6.0892677,-1.0566531,-2.0122123,-10.808557,-6.878638,-1.4169508,4.52971,0.2604236,0.020059858,-1.4428202,8.763923,-3.153183,-7.2803445,-2.888545,-9.165579,2.4336674,-7.4155574,-13.006511,-0.6923657,8.4497,-1.2372361,3.0949404,4.683071,-2.2020154,-7.4289193,1.2183611,-2.0022805,4.160996,6.1622553,-0.33529505,0.113382824,-1.38811,1.7203529,9.661717,-5.9405737,-5.19947,-8.175209,-3.1857643,-2.0997524,2.263689,3.5167124,-3.8830934
25,-2.959216,-1.8962264,7.76113,2.6338873,1.7081987,2.3948052,-6.055807,-4.112682,4.682433,-3.7287416,-1.4670774,-8.438293,0.49622872,0.4037831,6.643838,-1.1709117,-3.286314,1.1565986,9.855702,-0.40389588,-7.4745398,-6.823957,-7.589527,-1.0066534,-8.325458,-7.0276394,0.15199956,8.019299,3.5546134,1.3080074,1.6279894,-0.82151574,-9.58384,1.7809513,-6.0821466,7.954098,3.6325893,1.2494041,1.9578415,-0.14775117,-0.370668,4.9489436,-6.9124746,-5.693813,-0.80731595,-0.65067816,4.7750835,1.8966235,2.4218678,-5.2695208
26,-2.8828878,1.4179729,5.9493256,4.743105,0.007929895,0.64609224,0.14747225,0.005554762,6.7640185,-5.839832,0.7549872,-11.489753,-2.857363,1.3040608,6.7471004,-0.7817736,-4.8768415,5.1545005,9.518477,1.199183,-2.368035,-1.6741891,-6.910014,1.096666,-9.6943035,-11.504811,-1.4909365,6.8955708,6.740094,-0.5768334,4.2162013,-2.6365356,-6.7229614,3.9151742,-2.4285188,4.2721033,8.851197,2.9021976,1.7371396,-0.28997347,-0.77226406,5.810607,-4.5254765,-4.183526,-2.775747,-2.6274545,0.2692145,-1.1978912,2.2371085,-0.5552683
27,-3.004903,0.1201832,7.7523336,4.831412,-2.4147117,-0.9672737,1.2389117,-4.13832,7.533171,-3.8303852,-2.3471458,-5.9816995,-3.434072,0.61535543,11.366782,-1.2812845,-7.5363545,7.922833,10.956536,0.21721564,-2.3060346,-5.290482,-11.685946,2.8034408,-4.8904862,-13.65051,4.727591,7.7164555,1.4210751,3.4437723,2.4543734,-5.150666,-8.337815,5.086409,0.32046056,7.5017347,3.9120824,2.6300874,0.779172,3.2030156,1.062209,1.7731041,-7.3804445,-2.536028,-2.2765758,-3.000936,-1.4515023,1.500396,2.0565133,-2.1125119
28,-7.7159276,0.5555813,8.018718,2.8027844,-3.506891,2.430455,-1.6390165,-0.72067356,3.3364024,-0.34733742,-1.7445372,-14.082429,-5.2597275,-3.2657256,7.0276484,-0.44088882,-1.3530437,-0.9648305,10.365041,-3.5532098,-3.3941817,-4.971891,-3.9683936,3.9886043,-8.613982,-11.461409,-4.672297,11.84979,2.8411782,1.0399995,0.68237853,-3.5290632,-9.413521,2.0362372,-3.996532,9.183486,0.30625507,-0.54013395,1.8208202,3.159601,-2.1190178,3.3432224,-8.107464,-2.224604,-6.817846,-2.9829025,-3.449694,-0.17966747,1.215398,-0.47179165
29,-2.402106,3.041214,5.653085,5.584269,-3.6099014,-2.8635273,-1.1018283,1.1339989,4.8099546,-2.3944268,-3.9984102,-10.140561,-6.4715133,-0.9953325,6.2240534,2.234779,-1.7686862,2.1180491,9.1621895,-1.4783726,-3.3849907,-0.89235395,-8.309024,-3.4489207,-5.455044,-10.54332,-1.9102676,10.923717,3.5766723,1.5685737,-2.1448896,-5.847023,-7.234421,2.8219464,-2.5065904,5.631826,9.322854,2.2013657,1.2234806,-1.5996956,-1.1149869,4.4400887,-3.4691024,-2.1854324,-5.0398693,-4.8237085,-4.727296,-2.7102783,1.1167033,-2.7361612
30,-7.2748384,1.6879786,10.600806,2.0560956,-0.9972305,2.8025074,-0.8777794,-1.3520378,5.200207,-1.1322489,-0.3056352,-11.811077,-5.1251874,-1.8793246,6.6682024,-3.324993,-0.18934317,-2.1432464,10.184699,0.09122627,-6.7066374,-7.2966995,-9.043799,1.7213387,-4.348587,-11.390913,-2.1162238,8.707169,-1.180823,0.34324542,7.376075,3.680719,-10.61476,0.6436785,-6.3125877,1.2766267,5.5794344,3.2610686,3.087438,-3.3193612,-4.5314727,4.5849476,-6.261613,-4.8926463,-4.776609,1.9348372,1.8760324,1.370514,5.9708867,-0.81477475
31,-5.4522223,-0.64623946,6.1053047,2.5263703,-1.5863576,-1.8505023,-3.5823703,1.8472189,5.676466,-2.184273,-4.1784234,-11.107323,-6.5431256,0.04162579,3.9784367,-1.2487966,-2.5342522,1.8176687,8.932082,-4.0626345,-5.0828514,-5.9568214,-6.8807783,2.2274697,-7.6953115,-10.127151,1.775201,9.44585,-0.22762613,0.6698773,4.918096,-6.416094,-8.853476,0.2913233,-3.605267,6.5060425,4.984461,0.21922177,-0.6027596,-0.0031423771,1.0560822,4.1916947,-6.805076,-3.091679,0.102877274,-4.4580355,1.2780746,-2.5801852,3.51346,-4.045678
32,-4.1356244,1.9917357,7.1770973,4.871407,-6.9479017,-2.7191975,0.5465725,1.7133951,4.454496,-4.128106,-0.91037554,-11.914312,-7.1264973,0.39353606,5.361479,2.9572077,-0.8720148,-0.081192866,7.619901,-0.9341857,-1.580503,-1.4774737,-6.6563926,-0.7357805,-3.8188958,-10.881432,-2.3550334,8.230413,5.5120964,5.0496955,2.8246124,-1.0629941,-6.4623313,3.238219,2.4382396,6.521886,7.837356,2.7562234,1.8777488,1.530034,0.13599682,6.7407126,-4.064847,-5.342064,-2.3390493,-3.230828,-4.322916,1.5702913,3.3222985,-7.0757103
33,-9.319268,0.80647546,9.409774,2.8423958,-2.2974656,-0.9017622,-0.26472095,-0.72333884,4.6383386,1.7259009,-1.1447903,-10.675484,-2.0925033,-0.8242605,8.463005,5.5491247,-3.7329605,1.4099432,15.874005,-2.2149465,-5.3905125,-1.9951645,-12.19899,2.7530367,-10.398599,-12.292081,-2.7113106,9.426311,1.7842815,-1.7032835,8.377643,-5.0657506,-6.4163756,1.6140248,-3.0175986,3.2708821,5.0144277,2.2374196,0.28669935,0.9286632,-0.26407224,3.466155,-3.7518692,-1.0442461,-2.7774923,3.893814,1.4643753,3.1526535,1.8677073,-5.1330237
34,-4.4772506,6.7723055,6.076222,1.1945871,-2.709347,-3.136511,0.7482302,2.1221557,0.469723,1.7243594,0.0741053,-10.9477415,-4.941781,-1.4375857,8.0578985,-4.4149427,-1.1348326,-0.08071672,10.372419,-2.0664003,-4.322152,-4.3979206,-6.0738187,1.1605059,-6.7631702,-14.361141,-1.9100552,5.002187,-1.2718855,2.070956,-0.2843176,-0.050180253,-5.7175193,0.62694645,-1.1372736,3.8518395,3.903663,-0.28638425,-0.46813014,1.1501665,0.2140806,4.4245696,-4.7435694,-6.4680347,-1.5136486,-1.9110807,1.6618379,1.4654732,3.5015059,-6.598751
35,-2.1474316,-2.0944314,7.581605,-1.0032516,-3.0926087,-1.2670819,-1.2938342,-0.22003573,5.9463677,-1.9479516,-2.049617,-11.105602,-1.9707025,-1.1150492,6.28067,0.42964038,-1.9428625,2.6691964,7.8526464,-3.2312272,-5.5346074,-0.4648124,-8.13246,-0.17066368,-3.2879856,-12.11789,0.98248714,6.704362,1.6095433,-0.6880294,6.3644323,-3.8138041,-8.416413,3.4859824,-2.3302848,3.8461723,6.4479146,0.13423954,-3.8032126,1.6298261,0.80048853,5.4617195,-5.6956105,-3.273323,2.4490998,1.8376334,0.36050883,4.0818796,5.988485,-1.9814013
36,-4.590389,-0.22205529,6.9690824,1.800883,2.6382122,0.21870436,-2.081546,-1.7696257,4.480531,-4.4956064,-2.649999,-9.376484,-3.4980578,-2.806232,3.652285,-1.613173,-6.5902863,4.6923165,7.750715,-3.9456208,-3.9238877,-3.4514804,-4.3879876,1.2305368,-9.077678,-10.185899,0.38195407,8.824719,-1.0215836,5.615349,2.3507462,-4.145016,-8.596095,6.3173156,-2.3680062,7.188034,5.5710936,-1.2077057,4.154443,-0.94074315,-1.1481664,1.6879936,-5.083299,-6.5655155,-1.55763,-2.646102,-4.607946,-1.7566307,5.1917496,-2.253832
37,-2.3871996,5.590502,6.5443454,3.9671347,-2.4188926,-2.309103,-0.6891932,1.9588696,7.5065756,-0.57357234,0.30644464,-6.744257,-9.103676,2.3494468,6.1400514,-3.6181169,-4.8610654,4.197018,5.8687353,2.376296,-2.032752,-0.7274282,-11.48532,0.53934866,-4.840594,-9.758967,0.7111564,10.669876,-0.3155881,2.395451,2.2449868,-1.1378416,-8.793505,3.172238,0.230174,5.2813096,6.237392,3.488975,0.32346484,-3.4694338,-1.1349629,5.394428,-3.409533,-3.2587013,-1.2656674,-1.701792,0.44781974,-2.057407,3.191914,-0.5676947
