cell_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
11,8.674051,7.500012,-13.640644,3.7241452,-3.1931968,-8.597338,-5.591901,10.41331,-8.809374,-0.28651375,-13.074633,0.7439472,-1.3396953,7.477701,5.472147,18.799742,-6.68438,12.334381,4.647371,-6.1524715,-4.854485,-2.9425666,4.711799,2.5078526,-8.003146,-5.549626,5.759798,-5.616323,-0.28948647,-4.4139643,8.599795,-3.4560666,-7.689369,0.942966,-5.73296,6.0465636,0.41118437,0.9685877,-0.25320423,3.334488,-5.233532,0.99727196,11.923951,-5.2555614,-7.366637,-1.4235231,-6.056695,1.6113639,-6.39247,-2.827922
12,-5.8835244,3.447836,-8.249241,0.05879187,-6.2257934,-0.07552649,2.6041684,7.878596,-9.153261,4.7979565,-22.507689,1.9058409,-0.23857433,6.6203012,3.4538689,6.172499,-3.1168015,12.759479,9.414732,-9.239966,0.012619637,0.024203653,-6.991993,1.1690785,-13.375553,-12.762254,0.8666028,2.0165055,4.6021194,5.5914226,5.868869,-6.4607563,-18.494646,-6.77439,-3.5984104,0.83516693,-2.9302266,8.627718,-6.338731,-8.604269,-1.4737912,8.930849,9.574562,-2.111039,-9.719558,1.7199235,-7.7242713,-1.0128379,2.550711,-3.2238035
13,1.1576173,6.176419,-4.304886,-3.7760336,-2.5768116,-8.293006,2.5036986,-4.234557,5.2594566,0.11239087,-7.514406,-0.71387076,2.486555,15.1963625,-0.31168675,4.693424,-7.078317,9.439483,6.2256536,-10.43847,-7.7510753,-3.9659803,-2.2866797,6.902873,-6.255079,0.65343064,12.202524,-1.0422785,-2.616024,10.514261,1.7766609,-4.2062364,-9.678241,-0.8233698,-9.987716,11.329802,12.112035,2.6652288,-4.5733542,11.315383,-0.67373604,-6.514935,2.9371502,1.4340873,-0.8569094,4.408362,-5.1856647,-2.238753,4.1480412,-1.0995258
14,-3.7743268,12.605624,-0.14911109,2.4631069,0.30792043,-6.5430665,-9.662145,4.860503,2.9922369,-9.87073,-7.216103,-2.1161919,7.8129444,8.699842,0.6213722,10.506753,-6.395121,6.1953955,12.477092,-0.8072127,1.1997206,1.2900594,-5.6950393,1.2015525,-14.989522,-5.488733,6.2232203,-10.015183,-1.9000516,11.3296795,6.2033343,4.2416925,-11.065209,-2.171063,2.8112671,6.346639,10.21771,2.656499,3.327275,1.9633248,-2.1501842,4.0171194,-0.8328329,9.574742,-4.436287,4.44363,-5.2818565,4.7863493,5.457251,-7.9721546
15,-4.7684183,13.26915,-11.014569,5.7306643,-3.426585,-7.7102294,-9.667595,-3.4736545,1.357133,-4.951688,-15.110838,-7.287481,5.879501,9.8073845,4.1541996,10.958195,-2.9981089,7.780489,8.981706,-6.6710057,-7.6844387,8.441531,-2.715001,-4.020787,-9.069597,-5.2817535,0.19345729,-6.9998307,1.8815885,0.3192046,0.84182185,-7.7762427,-6.9367533,-5.5561757,-7.00838,1.2077225,12.068003,5.5176044,-0.22186638,-5.8255525,-8.7949,-3.0387132,8.746841,2.8178642,-18.734392,8.766837,1.7665185,1.6052222,-7.464449,1.0253903
16,-7.5539193,4.519146,-12.381742,-0.28905216,-0.31059632,-6.8190994,-1.7768717,4.1044655,-5.8736925,5.538957,-8.237443,6.7402835,-15.303939,2.2919395,-6.803182,16.355732,-5.148411,8.833849,5.5891047,-9.085788,-6.916574,-2.835196,-4.6285424,-5.740321,-8.386223,-5.9878325,-0.6882485,5.6574926,-5.0603395,-6.456807,-1.7545749,-3.9685977,-7.7311697,2.4233465,-1.9919205,2.4217741,-1.5589883,8.01488,1.5679842,-0.48464817,-1.6994855,5.3274126,15.646901,-6.9126444,-13.612483,-8.975552,-7.73592,-3.3843358,-12.630679,-0.7906598
17,11.617602,7.3897963,-6.8027306,-5.9801345,-1.8525914,-3.4272594,1.8657911,-5.779253,1.0606593,5.162661,1.4820399,-1.6233472,-1.5907111,5.8056507,-0.28964728,6.0037203,-0.6759367,11.68158,4.177981,-11.99439,-6.0087247,-4.051192,-2.068051,-2.6573834,-7.6465435,-1.4960148,13.692102,-4.2767906,-5.881029,2.7761867,7.8199716,-8.531606,-0.3844188,-1.136908,-5.2054424,7.5870953,3.999057,6.889518,0.89684975,13.350004,-0.33060682,-1.716351,2.9175992,-0.7926046,-2.4762514,-4.4439297,-4.0652776,6.584445,-6.021944,11.097674
18,4.6782374,14.310069,-13.220137,5.4343543,-3.5118809,-9.416874,-9.506156,3.6741638,-6.531998,-0.10922518,-11.803045,-4.366466,2.411249,6.2672696,2.4911618,8.681685,-1.5295419,20.956097,6.4113717,-13.244623,3.209239,2.2162712,2.5702562,-11.307069,-13.899558,2.7450442,2.1402698,0.8942926,-11.92216,8.218418,12.444665,4.101338,-11.7413225,0.97971237,-1.9239672,5.0702276,-5.886852,-3.939483,-3.3401473,3.2513728,-1.5228523,5.697714,5.764646,-4.6601276,-6.823087,0.4378369,-7.2664967,4.6627793,-10.77397,-4.726147
19,-2.0319588,18.178383,-7.1013017,3.4392092,-2.2055447,-1.6994717,-1.1120386,9.042461,3.66902,-5.754274,-5.899171,-3.639946,4.522186,11.460734,6.3995776,8.618536,-1.0297959,5.10498,13.57186,-1.5816866,-0.19474095,6.132389,-5.2764482,0.8234641,-13.906308,-11.886668,7.739994,-5.860635,-4.2323585,12.41378,9.030928,-1.7443162,-18.9937,-2.8679204,-4.024896,6.5566077,10.606626,3.0550265,4.5808387,7.642945,0.21660116,3.2183805,0.023668576,-2.0348177,-3.3742435,2.2273932,-5.0261335,4.6947284,6.572133,-0.7283606
20,-15.549398,0.3444101,-4.721206,3.5149417,1.5132073,-5.447969,-0.7783361,-2.191821,-4.185579,4.720463,-12.333494,3.251256,7.8890944,-1.6477506,4.854249,4.6287165,-3.5836172,17.17823,5.309621,-6.6739964,-11.9296875,0.98146325,-5.4381247,-1.417755,-4.631601,0.90947884,-1.0090092,-0.8247441,2.9015324,-3.9677658,-5.164007,-6.7007732,-9.874435,-2.5818822,-2.4181762,2.932996,1.827429,5.2495446,-7.4296713,-6.227185,-5.9822736,3.2842696,14.746602,-3.0811043,-12.442258,2.6086547,-6.110113,0.7614366,6.4657536,-3.2744827
