cell_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,0.36199796,-0.47507185,-1.2226392,-0.7602898,-0.25023073,-1.1955326,-0.26870552,0.86753654,-3.6696374,-3.2284446,1.7724023,0.15475926,-0.23567554,-0.08256057,0.03247343,-0.38325012,0.90435594,-1.2764163,0.5871232,-0.8694543,-1.7921121,2.5533485,1.565907,-0.35645926,-1.1486496,-1.1838298,-0.19016635,-2.496696,-2.8637958,-2.2979848,0.6052028,1.8865812,-1.5770748,1.0093217,1.0895013,-1.6504229,0.669013,-1.2599752,2.4876654,-4.929847,0.34604883,0.24036646,0.25990155,-0.12603225,-1.3187993,-0.20500869,1.2694758,-2.7272043,1.6079382,2.4967139
2,-1.951092,-2.3609943,0.29195595,0.9792981,-0.08952958,0.37967628,-2.2299986,-1.006659,-3.4915977,-1.5293659,1.8069582,2.4403899,0.7378919,-1.0320518,-0.27628574,0.7023955,0.0893496,-7.7357554,0.74015564,-2.9993782,-1.8985112,5.9790573,2.2980752,-2.6420705,-0.9804656,-0.08646138,0.8026398,-3.6339674,-5.4946775,-1.4214189,3.3711576,-0.60104984,-0.9895333,1.7598891,0.6948497,-0.018204667,0.6716818,0.01652737,5.8674254,-4.9401855,-0.08368874,-0.17034444,-0.21816316,2.4567053,-0.5818493,-1.5709395,1.988133,-1.1482522,5.1224413,0.9103498
3,-2.974473,-1.2696562,1.0063703,1.5065012,0.022423314,0.4082483,-0.3444931,-1.7636997,-0.9925979,-0.6133031,2.5716126,3.190779,3.4771135,-0.69035685,-0.37062314,2.6004283,-0.38031638,-7.881571,1.8259535,-2.9668634,-0.70522505,5.4750385,1.5023781,-4.8692193,-1.6682754,0.29444975,2.8241444,-2.283849,-5.6492248,0.1268928,1.3207177,0.022614673,1.2443846,1.7897723,1.0079696,0.34116247,0.864212,-0.32355034,3.3765574,-4.6625433,-0.52172714,-1.9671205,-1.4159762,2.445509,-0.15607548,-1.3631403,3.0557969,-0.5605364,3.777425,1.057351
4,-1.0668296,-1.347276,0.14779662,1.0994612,0.7262832,-0.9428856,-0.08556443,-0.9999263,-1.9439234,-1.4328462,1.8708317,1.6502241,-1.0259037,-0.33158982,-0.2841539,1.0964516,-2.235553,-5.2924547,-0.615938,-0.29079914,-0.5597033,4.461656,0.8026956,-1.7832003,0.8600407,2.329413,-0.7514531,-3.7298815,-3.319116,-2.3268652,1.72706,-0.15091963,1.2339191,1.3818517,-0.09426258,-0.31110612,-0.07170766,0.7992379,3.9800582,-4.557786,-0.13845338,0.26591086,0.6525999,0.7895511,-1.3890846,-1.4901873,0.8755169,-1.8981035,3.8817086,2.2608035
5,-0.44059494,-0.46369317,-0.15410747,-0.25093436,0.63970435,-1.9298126,0.24242324,-1.83507,-1.4807087,-2.656347,2.0262945,2.4801474,-0.08494535,-0.4834175,1.150034,0.47640318,-0.08595865,-4.352293,0.27197808,-0.826475,-1.1872135,5.215115,1.1389697,-2.4713058,1.3176687,-1.6572618,-0.25058925,-2.2009082,-4.749841,-3.597007,0.8874754,2.0884106,-0.14471945,2.6458936,0.8550036,-1.1301919,1.0078156,-1.5885998,2.4446554,-3.1418958,1.2928549,0.5492131,1.3375177,1.492159,-0.054948006,-0.363681,1.8871378,-1.5265149,4.133391,2.3287914
6,-1.9967523,-1.2138045,-0.27389315,1.6093313,0.90172106,-1.3275989,-2.8196378,-2.0686505,-2.5744505,0.41944182,5.077416,2.9734206,0.12845859,-1.9341986,-1.0796695,0.70501906,0.11878615,-8.417349,1.5733145,-1.7064903,-0.48385173,6.1647563,1.492641,-2.088668,-0.13481717,2.299023,0.5215993,-3.1644354,-3.899794,-3.4729323,1.9731188,0.33933547,1.2635418,3.767236,1.0358208,-0.066890664,-0.92477846,1.8531675,5.637383,-4.133507,-1.3783606,0.66842324,1.1255959,0.8553869,-0.9910453,-1.9636264,2.450299,-1.0731437,6.539854,4.227047
7,-2.3016002,-1.6493745,0.9224372,1.4362036,0.43089312,-0.09216957,-2.8984315,-2.5284061,-4.399206,-0.12569262,3.888762,3.4358604,2.4589016,-1.5736811,-0.9023412,0.10666256,2.412094,-9.702791,2.882386,-3.2279143,-1.4683504,7.211075,4.19151,-3.8979595,-2.1362426,0.013002843,2.0812545,-1.8536856,-4.7770886,-2.003584,2.011681,1.0919689,-0.41412035,3.0468779,2.0043912,-0.78661454,0.279311,-0.7073375,7.03923,-4.187905,-0.8867475,0.36458153,-1.0160724,1.531233,-0.99332035,-1.1234801,3.1772368,-1.0786188,5.895211,2.0639508
8,-0.8945164,-0.32762328,-0.6316601,-0.2504735,1.5264099,-0.83684987,0.09183115,-0.36883208,-2.6866736,-2.935524,1.4131103,1.296607,0.50315684,0.22850792,-0.54849494,0.45834908,0.12750353,-0.6666604,0.30388665,-0.91449845,-1.1519623,2.6914346,1.5145086,-0.6037263,-0.07191102,-1.5156531,0.08444634,-1.6792233,-2.059036,-1.5686164,2.1365302,1.2796553,-0.84997064,0.62774026,-0.34678483,-1.6102612,1.1814934,-1.7112315,2.0097997,-4.7085357,0.85335135,0.101930946,-0.3452116,-0.005684588,-1.8026009,0.12760752,1.8180649,-2.5589454,0.5423667,0.7621978
9,-0.82981634,-0.557284,0.39269263,0.20193012,-0.064963914,-1.0562707,-0.3945219,-0.35620946,-3.2583601,-2.0255783,3.360135,0.47785646,-1.0259292,-0.93135786,-0.4446442,-0.7795036,0.21603724,-6.274458,0.77939117,-0.73262364,-0.8327509,5.5389376,1.2603388,-1.9931093,-0.8448199,0.6381629,0.6812249,-1.9216509,-3.5774639,-2.933791,1.2788996,1.8071721,0.49570778,3.1794863,0.6714976,-1.5323507,-0.22794406,-0.21114206,4.772974,-3.8791554,-0.9642554,2.0644531,1.309394,0.69330037,-1.3504578,-1.3820243,1.1331692,-1.0193143,4.753736,2.7335572
10,-0.42174247,-0.3352439,-0.3942634,-0.42696214,1.5861073,-0.41542315,-0.0634632,-0.53411514,-3.372719,-2.8209276,1.4799691,1.006956,0.3492978,0.5558352,-0.4032467,0.23360884,0.24688166,-1.0939347,0.74228776,-0.5202952,-0.7306931,2.9202292,1.7362579,-0.5224836,-0.57512987,-1.2611715,-0.120077014,-1.9445482,-2.1582525,-2.3123398,1.442284,1.4933895,-0.7619477,1.3384281,-0.084009916,-2.011265,0.6914706,-1.8857499,2.0087907,-4.960537,0.16840498,-0.12080598,-0.046261027,-0.6975075,-2.0430324,-0.45418683,2.2505453,-2.8722696,0.6324117,1.6615597
