cell_index,x,y,n_transcripts,density,elongation,area,avg_confidence
79,1725.95488721805,1347.36842105263,133,0.02483,1.335,5356,0.9477
80,2160.09333333333,937.88,75,0.01029,1.416,7286,0.9475
81,2956.12,114.466666666667,75,0.0146,3.481,5137,0.898
82,2328.0625,825.3125,16,0.01027,10.21,1558,0.762
83,2862.10526315789,269.947368421053,19,0.04674,1.737,406.5,0.8669
84,2852.74074074074,333.037037037037,27,0.01219,2.729,2215,0.6774
85,1882.78414096916,1306.02643171806,227,0.02537,1.371,8948,0.9638
86,2425.07843137255,721.156862745098,51,0.008469,2.711,6022,0.4127
87,1797.81212121212,1327.2303030303,165,0.02416,2.857,6830,0.9855
88,2131.75409836066,1028.04918032787,61,0.008221,1.551,7420,0.8737
89,3063.525,89,40,0.00962,3.111,4158,0.7762
90,2245.71428571429,972.357142857143,28,0.009479,3.856,2954,0.4076
91,3231.78260869565,52.4347826086957,23,0.01115,4.768,2062,0.8516
92,3152.92920353982,35.0884955752212,226,0.02692,1.768,8395,0.9937
93,1687.44927536232,1479.05797101449,69,0.02107,1.284,3275,0.873
94,1553.9512195122,1648.9674796748,123,0.02416,2.73,5092,0.8995
95,1730.77464788732,1422.45070422535,142,0.03254,1.671,4364,0.9767
96,2975.85714285714,216.698412698413,126,0.01851,4.206,6808,0.9457
97,2650.38461538462,501.307692307692,26,0.008143,3.164,3193,0.4594
98,1795.07692307692,1434.2735042735,117,0.0254,1.871,4606,0.9434
99,3220.00396825397,195.498677248677,756,0.03556,1.27,21260,0.9986
100,2114.14150943396,1149.14150943396,106,0.01138,1.614,9314,0.8976
101,1601.45833333333,1591.59722222222,144,0.02959,1.752,4866,0.9596
102,1674.81967213115,1568.4043715847,183,0.0326,1.714,5613,0.9824
103,1542.6265060241,1725.9156626506,83,0.02353,2.143,3528,0.9382
104,2753.33333333333,560.045454545455,66,0.01717,2.181,3844,0.902
105,3132.37055837563,78.6345177664975,197,0.01577,1.367,12490,0.9749
106,1904.01492537313,1411.19402985075,134,0.01648,1.176,8130,0.9144
107,1995.2,1275.65,40,0.005221,1.622,7661,0.4662
108,2205.9512195122,1107.31707317073,41,0.008635,6.089,4748,0.5758
109,1764.13402061856,1508.55670103093,97,0.02474,1.866,3920,0.9329
110,3255.60833333333,22.925,120,0.02131,2.808,5632,0.9702
111,2767.4347826087,489.065217391304,92,0.01739,1.688,5291,0.9289
112,3055.51515151515,251.515151515152,33,0.02227,2.31,1482,0.9895
113,2559.94444444444,669.277777777778,18,0.01283,9.439,1403,0.6017
114,2870.47916666667,395.291666666667,48,0.01702,2.982,2821,0.9225
115,2951.2027027027,369.047297297297,148,0.01928,1.481,7678,0.9982
116,2817.5401459854,497.408759124088,137,0.02246,5.633,6100,0.9697
117,3099.96946564886,191.221374045802,131,0.01235,2.038,10610,0.9587
118,2307.07547169811,997.018867924528,53,0.0115,3.681,4608,0.7374
119,2290.76470588235,1082.47058823529,17,0.01998,5.508,851,0.4136
120,1696.39013452915,1632.86547085202,223,0.03011,3.435,7406,0.9736
121,1607.79347826087,1701.03260869565,92,0.02629,1.873,3500,0.9449
122,2927.44852941177,345.360294117647,136,0.018,1.755,7556,0.9806
123,2985.60909090909,315.590909090909,110,0.01626,1.905,6766,0.9979
124,3046.82894736842,301.171052631579,76,0.01219,1.283,6235,0.9691
125,1838.1,1485.75555555556,90,0.01858,1.1,4844,0.9451
126,1924.08333333333,1471.58333333333,12,0.01392,1.848,862,0.8034
127,2076.8,1331.90909090909,55,0.01826,1.972,3012,0.9335
128,1558.38235294118,1823.00980392157,102,0.02441,3.511,4178,0.9485
129,1597.06741573034,1797.47191011236,89,0.01779,4.622,5004,0.9211
130,2179.5,1216.26923076923,26,0.01272,1.364,2044,0.7144
131,3128.89230769231,178.538461538462,65,0.0144,1.175,4515,0.965
132,2626,717.842105263158,19,0.009591,1.981,1981,0.5834
133,2873.28571428571,530.047619047619,42,0.007241,2.607,5800,0.9343
134,2894.20233463035,435.996108949416,257,0.03274,1.205,7850,0.9986
135,1788.35947712418,1589.32679738562,153,0.02202,2.112,6948,0.9738
136,1499.25,1980.05769230769,52,0.01502,2.194,3462,0.7882
137,3048.81519507187,397.112936344969,487,0.03359,1.643,14500,0.9987
138,1437.63793103448,2038.63793103448,116,0.02593,1.21,4473,0.9768
139,1666.39405204461,1743.55762081784,269,0.02803,2.285,9598,0.9931
140,2128.43382352941,1274.72058823529,136,0.01324,1.466,10270,0.9536
141,2650.85454545455,727.490909090909,55,0.01195,1.389,4602,0.7278
142,2023.625,1467.575,40,0.008877,2.072,4506,0.8673
143,3301.53159851301,117.364312267658,269,0.0263,1.753,10230,0.9907
144,2837.73170731707,585.707317073171,41,0.01366,3.453,3001,0.914
145,3332.15730337079,36.0449438202247,89,0.02023,2.493,4400,0.9866
146,1537.51776649746,1902.37055837563,197,0.02222,2.034,8866,0.9364
147,3453.83333333333,28.7685185185185,108,0.01872,1.171,5770,0.979
148,3123.46753246753,360.48051948052,231,0.02776,2.724,8321,0.9999
149,2623.56934306569,852.985401459854,137,0.0176,1.583,7786,0.9712
150,2707.9649122807,750.114035087719,114,0.01556,1.605,7328,0.9685
151,1862.11538461538,1620.69230769231,26,0.01862,3.006,1396,0.8978
152,1732,1707.59322033898,177,0.02093,1.813,8458,0.9706
153,2865.5873015873,515.714285714286,63,0.0133,2.319,4738,0.9767
154,3262.375,269.977272727273,88,0.01355,1.942,6496,0.9859
155,1851.21374045802,1547.53435114504,131,0.0189,1.321,6930,0.9486
156,2620.36764705882,795.426470588235,136,0.02191,4.648,6206,0.9344
157,2963.42296072508,493.492447129909,662,0.03981,1.958,16630,1
158,3404.68292682927,33.9512195121951,41,0.01874,2.952,2188,0.8821
159,1808.1059602649,1683.01324503311,151,0.02005,1.394,7531,0.9629
160,2590.32911392405,936.607594936709,79,0.01482,1.468,5330,0.8766
161,3138.35897435897,325.897435897436,78,0.01292,2.418,6039,0.9648
162,2062.41772151899,1406.62025316456,79,0.01608,1.688,4914,0.9947
163,1820.75471698113,1748.2641509434,53,0.01365,2.612,3884,0.9564
164,2778.66666666667,729.757575757576,33,0.01297,3.092,2544,0.5548
165,2908.80582524272,574.883495145631,103,0.01763,2.327,5842,0.9314
166,2746.2,827.05,20,0.01429,1.839,1400,0.573
167,1450.04026845638,2114.72483221477,149,0.02006,1.353,7428,0.9595
168,2850.92592592593,627.407407407407,27,0.01471,2.403,1836,0.9362
169,2120.42391304348,1374.73913043478,92,0.01949,2.048,4721,0.9559
170,2903.58333333333,641.916666666667,60,0.01455,1.163,4123,0.9457
171,1704.69230769231,1836.92307692308,13,0.02078,2.797,625.5,0.8637
172,2695.62280701754,866.535087719298,114,0.01394,1.585,8180,0.807
173,1867.01538461538,1702.81538461538,65,0.02569,4.137,2530,0.988
174,1517.86842105263,2046.43421052632,76,0.0141,1.727,5391,0.8541
175,2214.3661971831,1366.35211267606,71,0.009274,1.695,7656,0.7983
176,3093.18637992832,521.89605734767,279,0.0235,1.552,11870,0.9954
177,3029.76373626374,482.148351648352,182,0.02142,1.584,8498,1
178,2866.90277777778,716.583333333333,72,0.01072,1.695,6714,0.7723
179,2114.35245901639,1485.51639344262,122,0.01855,2.143,6576,0.9585
180,1681.44,1909.4,75,0.02004,1.581,3742,0.9854
181,1617.50877192982,1923.42105263158,57,0.01266,2.769,4502,0.8887
182,2582,876.491803278689,61,0.01171,2.206,5211,0.8269
183,3397.80459770115,139.32183908046,87,0.02385,2.713,3648,0.9617
184,3528.70629370629,32.8321678321678,143,0.01981,1.478,7220,0.9763
185,3328.60944206009,229.094420600858,466,0.03923,1.674,11880,0.9966
186,2335.14953271028,1307.02803738318,107,0.01123,2.149,9532,0.8739
187,1396.71428571429,2136.71428571429,7,0.1273,46.14,55,0.8685
188,1749.61290322581,1877.81290322581,310,0.04316,1.173,7182,0.9984
189,1732.19852941176,1932.54411764706,136,0.03299,1.126,4123,0.9993
190,1918.9375,1716.79166666667,48,0.007435,3.283,6456,0.6898
191,1781.6338028169,1795.78873239437,71,0.01934,1.798,3672,0.9779
192,1517,2139.42307692308,26,0.01223,2.947,2126,0.6944
193,2950.73529411765,616.313725490196,102,0.01621,3.354,6291,0.9588
194,1858.18333333333,1793.86666666667,60,0.01771,1.744,3387,0.9783
195,3038.5332197615,595.248722316865,587,0.03305,1.381,17760,0.9976
196,3446.42307692308,162.711538461538,52,0.02775,1.148,1874,0.9948
197,1816.50617283951,1848.71604938272,81,0.0345,3.163,2348,0.9957
198,3554.66331658291,77.0753768844221,199,0.0276,2.173,7210,0.997
199,2194.325,1445.65,80,0.01353,2.716,5912,0.9499
200,2079.24705882353,1568.45882352941,85,0.01035,1.649,8214,0.8879
201,1656.71153846154,1971.86538461538,104,0.02452,1.434,4242,0.9998
202,2025.36363636364,1614.18181818182,11,0.02183,9.57,504,0.9396
203,1704.86440677966,1987.59322033898,59,0.01602,1.641,3682,0.9998
204,3215.575,400.655,200,0.02726,1.528,7338,0.9809
205,1934.15151515152,1816.54545454545,33,0.009781,2.892,3374,0.6875
206,1978.71428571429,1871,7,0.01009,2.858,694,0.5431
207,1420.6017699115,2208.6814159292,113,0.02057,4.544,5494,0.9863
